Herbarium,Herbarium_Code,Accession,County,Phenophase,Month,Day,Year,DayOfYear,Elevation(m),Latitude,Longitude,Collector
Jepson (UC Berkeley),UC-JEPS,93414,Baja - S Coronado Island,First Open Flower,March,19,1966,78,91,,,E.R.Blakley
UC Davis,DAV,10538,Berkeley,First Open Flower,March,21,1943,80,,,,Bob Rodin
California Academy of Sciences,CAS-DS,911571,Butte,First Open Flower,April,1,1976,92,61,,,John Thomas Howell
Rancho Santa Ana Botanic Garden,RSA-POM,590194,Colusa,First Open Flower,March,30,1996,91,,,,Michael A. Vincent & Robert Rhode
Rancho Santa Ana Botanic Garden,RSA-POM,590194,Colusa,First Open Flower,March,30,1996,91,,,,Michael A. Vincent & Robert Rhode
California Academy of Sciences,CAS-DS,509449,Contra Costa,First Open Flower,April,9,1910,99,,,,James McMurphy
Rancho Santa Ana Botanic Garden,RSA-POM,253322,Contra Costa,First Open Flower,April,9,1938,99,,,,A.A. Heller
California Academy of Sciences,CAS-DS,535208,Fresno,First Open Flower,March,20,1959,79,290,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450351,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,727955,Fresno,First Open Flower,April,10,1967,100,267,,,John H. Thomas
California Academy of Sciences,CAS-DS,727955,Fresno,First Open Flower,April,10,1967,100,267,,,John H. Thomas
California Academy of Sciences,CAS-DS,161273,Humboldt,First Open Flower,May,9,1926,129,853,,,Doris K. Kildale
Jepson (UC Berkeley),UC-JEPS,590,Humboldt,First Open Flower,May,23,1934,143,366,,,Lincoln Constance
California Academy of Sciences,CAS-DS,589102,Inyo,First Open Flower,March,16,1956,77,1128,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,589102,Inyo,First Open Flower,March,16,1956,77,1128,,,Ernest C. Twisselmann
Jepson (UC Berkeley),UC-JEPS,14287,kern,First Open Flower,March,10,1954,69,,,,Rimo Bacigalupi
California Academy of Sciences,CAS-DS,590461,Kern,Peak Flowering,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,Peak Flowering,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
Rancho Santa Ana Botanic Garden,RSA-POM,652113,Kern,First Open Flower,March,29,1956,90,488,,,G.F. Orr
Jepson (UC Berkeley),UC-JEPS,22035,Kern,Peak Flowering,March,25,1958,84,792,,,Rimo Bacigalupi
Jepson (UC Berkeley),UC-JEPS,22035,Kern,Peak Flowering,March,25,1958,84,792,,,Rimo Bacigalupi
Jepson (UC Berkeley),UC-JEPS,22035,kern,First Open Flower,March,25,1958,84,792,,,Rimo Bacigalupi
California Academy of Sciences,CAS-DS,450615,Kern,First Open Flower,March,29,1958,88,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450636,Kern,First Open Flower,March,25,1959,84,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,486945,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590444,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590444,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,Peak Flowering,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535282,Kern,Peak Flowering,May,1,1962,121,305,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535283,Kern,First Open Flower,June,1,1962,152,1173,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590453,Kern,First Open Flower,June,1,1962,152,1173,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535760,Kern,First Open Flower,April,18,1963,108,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535760,Kern,First Open Flower,April,18,1963,108,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535760,Kern,First Open Flower,April,18,1963,108,594,,,Ernest C. Twisselmann
Rancho Santa Ana Botanic Garden,RSA-POM,171450,Kern,Peak Flowering,May,4,1963,124,1219,,,Mark W Parratt
California Academy of Sciences,CAS-DS,590460,Kern,First Open Flower,March,28,1965,87,,,,Noraine Meng
UC Davis,DAV,93107,Kern,First Open Flower,April,10,1976,101,366,,,Curtis Clark
UC Davis,DAV,93107,Kern,First Open Flower,April,10,1976,101,366,,,Curtis Clark
UC Davis,DAV,93107,Kern,First Open Flower,April,10,1976,101,366,,,Curtis Clark
UC Davis,DAV,93107,Kern,First Open Flower,April,10,1976,101,366,,,Curtis Clark
UC Davis,DAV,93107,Kern,First Open Flower,April,10,1976,101,366,,,Curtis Clark
Rancho Santa Ana Botanic Garden,RSA-POM,708386,Kern,First Open Flower,April,16,2002,106,1219,,,L.M. Moe
Rancho Santa Ana Botanic Garden,RSA-POM,720029,Kern,First Open Flower,March,20,2003,79,1491,35.7133.0,117.9633.0,"Naomi Fraga, Steve Boyd"
Rancho Santa Ana Botanic Garden,RSA-POM,720029,Kern,First Open Flower,March,20,2003,79,1491,35.7133.0,117.9633.0,"Naomi Fraga, Steve Boyd"
Rancho Santa Ana Botanic Garden,RSA-POM,730096,Kern,First Open Flower,March,19,2004,80,1646,35.6983.0,117.9679.0,"Naomi Fraga, Theodore Anderson, Caroline Stolzenburg"
Rancho Santa Ana Botanic Garden,RSA-POM,730096,Kern,First Open Flower,March,19,2004,80,1646,35.6983.0,117.9679.0,"Naomi Fraga, Theodore Anderson, Caroline Stolzenburg"
California Academy of Sciences,CAS-DS,194397,Kings,First Open Flower,March,20,1931,79,,,,John Thomas Howell
California Academy of Sciences,CAS-DS,89881,Lake,First Open Flower,June,8,1919,159,549,,,A.A. Heller
Jepson (UC Berkeley),UC-JEPS,77379,Lake,First Open Flower,May,4,1963,124,396,,,Robert M. Lloyd
UC Davis,DAV,34879,Los Angeles,First Open Flower,May,1,1912,122,152,,,Huron H. Smith
Rancho Santa Ana Botanic Garden,RSA-POM,433648,Los Angeles,First Open Flower,April,14,1929,104,,,,M.B. Dunkle
California Academy of Sciences,CAS-DS,281954,Los Angeles,First Open Flower,May,11,1932,132,30,,,Carl B. Wolf
UC Davis,DAV,9828,Los Angeles,First Open Flower,March,25,1948,86,,,,R.L. Smith
Rancho Santa Ana Botanic Garden,RSA-POM,250625,Los Angeles,First Open Flower,April,2,1971,92,549,,,Robert F. Thorne
UC Davis,DAV,75590,Los Angeles,First Open Flower,April,22,1974,112,335,,,Geoffrey Levin
California Academy of Sciences,CAS-DS,1005366,Los Angeles,Peak Flowering,May,4,1994,124,1391,,,Timothy S. Ross & Steve Boyd
Rancho Santa Ana Botanic Garden,RSA-POM,587465,Los Angeles,First Open Flower,April,11,1995,101,1036,,,Orlando Mistretta
California Academy of Sciences,CAS-DS,157590,Marin,First Open Flower,April,19,1927,109,,,,L.R. Abrams
California Academy of Sciences,CAS-DS,535261,Marin,First Open Flower,May,19,1940,140,,,,Paul F. Covel
California Academy of Sciences,CAS-DS,439201,Marin,First Open Flower,March,11,1961,70,107,,,Javier Penalosa
Jepson (UC Berkeley),UC-JEPS,77235,Marin,Peak Flowering,April,24,1963,114,61,,,Robert M. Lloyd
Rancho Santa Ana Botanic Garden,RSA-POM,253014,Mendocino,First Open Flower,May,8,1937,128,,,,A.A. Heller
Rancho Santa Ana Botanic Garden,RSA-POM,253014,Mendocino,First Open Flower,May,8,1937,128,,,,A.A. Heller
California Academy of Sciences,CAS-DS,276980,Mendocino,First Open Flower,May,21,1939,141,38,,,L. Constance
California Academy of Sciences,CAS-DS,270687,Mendocino,First Open Flower,May,21,1939,141,38,,,L. Constance
California Academy of Sciences,CAS-DS,270687,Mendocino,First Open Flower,May,21,1939,141,38,,,L. Constance
Rancho Santa Ana Botanic Garden,RSA-POM,257212,Mendocino,First Open Flower,May,21,1939,141,38,,,L. Constance
California Academy of Sciences,CAS-DS,514057,Mendocino,First Open Flower,May,2,1968,123,15,,,Gordon H. True
California Academy of Sciences,CAS-DS,514057,Mendocino,First Open Flower,May,2,1968,123,15,,,Gordon H. True
California Academy of Sciences,CAS-DS,514057,Mendocino,First Open Flower,May,2,1968,123,15,,,Gordon H. True
California Academy of Sciences,CAS-DS,514057,Mendocino,First Open Flower,May,2,1968,123,15,,,Gordon H. True
California Academy of Sciences,CAS-DS,759943,Mendocino,First Open Flower,April,18,1979,108,15,,,Clare R. Wheeler
Jepson (UC Berkeley),UC-JEPS,74190,Monterey,First Open Flower,April,27,1973,117,1219,,,James R. Griffin
Jepson (UC Berkeley),UC-JEPS,74190,Monterey,First Open Flower,April,27,1973,117,1219,,,James R. Griffin
Jepson (UC Berkeley),UC-JEPS,74190,Monterey,First Open Flower,April,27,1973,117,1219,,,James R. Griffin
UC Davis,DAV,11777,Napa,First Open Flower,April,28,1952,119,,,,David Lawfer
California Academy of Sciences,CAS-DS,535161,Napa,First Open Flower,April,9,1960,100,366,,,Elsa Ruckert
California Academy of Sciences,CAS-DS,535161,Napa,First Open Flower,April,9,1960,100,366,,,Elsa Ruckert
California Academy of Sciences,CAS-DS,535161,Napa,First Open Flower,April,9,1960,100,366,,,Elsa Ruckert
California Academy of Sciences,CAS-DS,602659,Napa,First Open Flower,April,16,1967,106,183,,,Gilbert Muth
California Academy of Sciences,CAS-DS,890946,Nevada,First Open Flower,April,8,1962,98,366,,,Gordon H. True
California Academy of Sciences,CAS-DS,890946,Nevada,First Open Flower,April,8,1962,98,366,,,Gordon H. True
UC Davis,DAV,134823,Placer,First Open Flower,April,15,1984,106,23,,,Heidi Haugen
UC Davis,DAV,171562,Placer,First Open Flower,April,13,2006,103,274,,,G.K. Helmkamp
UC Davis,DAV,171562,Placer,First Open Flower,April,13,2006,103,274,,,G.K. Helmkamp
UC Davis,DAV,171562,Placer,First Open Flower,April,13,2006,103,274,,,G.K. Helmkamp
UC Davis,DAV,171562,Placer,First Open Flower,April,13,2006,103,274,,,G.K. Helmkamp
UC Davis,DAV,127908,Sacramento,First Open Flower,April,17,1995,107,55,,,Robert E. Preston
UC Davis,DAV,117064,San Benito,First Open Flower,April,24,1991,114,,,,Robert A. Raguso
Jepson (UC Berkeley),UC-JEPS,588,San Bernardino,First Open Flower,May,9,1937,129,1372,,,W.L. Jepson
Jepson (UC Berkeley),UC-JEPS,588,San Bernardino,First Open Flower,May,9,1937,129,1372,,,W.L. Jepson
Rancho Santa Ana Botanic Garden,RSA-POM,445577,San Diego,First Open Flower,March,30,1929,89,,,,Dr H deForest
Rancho Santa Ana Botanic Garden,RSA-POM,32924,San Diego,First Open Flower,May,18,1933,138,9,,,M.B. Dunkle
Rancho Santa Ana Botanic Garden,RSA-POM,32924,San Diego,First Open Flower,June,18,1933,169,9,,,M.B. Dunkle
Rancho Santa Ana Botanic Garden,RSA-POM,364000,San Diego,First Open Flower,April,12,1981,102,,,,H vdWerff
Rancho Santa Ana Botanic Garden,RSA-POM,713069,San Diego,First Open Flower,March,5,2005,64,183,,,Mark A Elvin
Rancho Santa Ana Botanic Garden,RSA-POM,746379,San Diego,First Open Flower,April,15,2009,105,190,33.373,117.4506,"Jon P Rebman, M Mulligan, M Dinkins"
Rancho Santa Ana Botanic Garden,RSA-POM,149294,San Francisco,First Open Flower,April,15,1906,105,,,,Harley P Chandler II
Rancho Santa Ana Botanic Garden,RSA-POM,262079,San Luis Obispo,First Open Flower,April,15,1929,105,,,,Ira L Wiggins
UC Davis,DAV,174218,San Luis Obispo,First Open Flower,March,15,2004,76,76,,,G.K. Helmkamp
UC Santa Barbara,UCSB,11488,San Mateo,First Open Flower,April,17,1962,107,12,,,Jim Olson
UC Santa Barbara,UCSB,18389,San Mateo,First Open Flower,April,12,1963,102,137,,,John Schulte
UC Davis,DAV,19393,Santa Barbara,First Open Flower,April,12,1951,102,,,,Henry M Pollard
UC Santa Barbara,UCSB,2179,Santa Barbara,First Open Flower,April,1,1959,91,137,,,Ron Newby
UC Santa Barbara,UCSB,36426,Santa Barbara,First Open Flower,May,2,1980,123,,,,"D.L Koehler, P.J. Gordon"
California Academy of Sciences,CAS-DS,186683,Shasta,First Open Flower,June,23,1929,174,,,,Elmer I. Applegate
California Academy of Sciences,CAS-DS,89909,Siskiyou,First Open Flower,May,29,1923,149,,,,Alice Eastwood
UC Davis,DAV,85503,Sonoma,First Open Flower,May,19,1974,139,30,,,Chris Bowen
California Academy of Sciences,CAS-DS,718194,Sonoma,First Open Flower,April,23,1981,113,,,,G. DeNevers
California Academy of Sciences,CAS-DS,450354,Stanislaus,First Open Flower,March,31,1959,90,,,,W.R. Ernst
Jepson (UC Berkeley),UC-JEPS,45389,Stanislaus,First Open Flower,March,29,1961,88,,,,Perry Allen
Jepson (UC Berkeley),UC-JEPS,77058,Stanislaus,First Open Flower,March,24,1963,83,,,,Robert M. Lloyd
UC Davis,DAV,93412,Stanislaus,First Open Flower,March,6,1971,65,,,,G.D. Carr
UC Davis,DAV,93412,Stanislaus,First Open Flower,March,6,1971,65,,,,G.D. Carr
UC Davis,DAV,93412,Stanislaus,First Open Flower,March,6,1971,65,,,,G.D. Carr
UC Davis,DAV,93412,Stanislaus,First Open Flower,March,6,1971,65,,,,G.D. Carr
California Academy of Sciences,CAS-DS,797388,Sutter,First Open Flower,April,5,1977,95,300,,,Lowell Ahart
California Academy of Sciences,CAS-DS,797388,Sutter,First Open Flower,April,5,1977,95,300,,,Lowell Ahart
Jepson (UC Berkeley),UC-JEPS,46123,unknown,First Open Flower,April,12,1931,102,,,,Mrs. E.L. Mossman
UC Davis,DAV,NA,Yolo,First Open Flower,April,29,1927,119,,,,M. Wiesendanger
UC Davis,DAV,NA,Yolo,First Open Flower,April,29,1927,119,,,,M. Wiesendanger
UC Davis,DAV,31331,Yolo,First Open Flower,April,12,1962,102,,,,June McCaskill & Katherine Onaga
UC Davis,DAV,154999,Yolo,First Open Flower,March,16,2001,75,,,,N. Nicola & C. Kremen
UC Davis,DAV,154999,Yolo,First Open Flower,March,16,2001,75,,,,N. Nicola & C. Kremen
UC Davis,DAV,92209,Yuba,First Open Flower,April,14,1974,104,,,,Barbara Yungert
UC Davis,DAV,92209,Yuba,First Open Flower,April,14,1974,104,,,,Barbara Yungert
